鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
土城區,房地(土地+建物),新北市土城區裕生路83巷1~30號,21.28,住,,,1071107,土地2建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691024,84.35,3,2,1,有,無,6980000,82750,,0.0,0,,RPVQMLLLJINFFAF38CA
板橋區,房地(土地+建物),新北市板橋區忠孝路48巷4弄61~90號,26.2,住,,,1071015,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710213,93.19,4,0,4,有,無,10300000,110527,,0.0,0,頂樓加蓋3間套房（3房3衛）,RPOSMLLLJINFFAF87CA
板橋區,土地,江子翠段第二崁小段181~210地號,68.67,商,,,1071030,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34730000,505752,,0.0,0,,RPRSMLLLJINFFAF18CA
土城區,房地(土地+建物)+車位,新北市土城區中央路四段241~270號,20.81,住,,,1071013,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040908,131.72,2,1,1,有,有,11850000,89964,坡道平面,40.7,0,,RPOOMLMLJINFFAF57CA
板橋區,房地(土地+建物)+車位,新北市板橋區滿平街1~30號,26.89,住,,,1071005,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871013,154.27,4,2,2,有,有,2800000,18150,升降機械,9.92,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;祖母賣給孫子頂樓增建,RPVPMLMLJINFFAF38CA
板橋區,房地(土地+建物),新北市板橋區滿平街1~30號,109.79,住,,,1071005,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,,180.75,4,3,2,有,無,9800000,54219,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;祖母賣給孫子,RPWPMLMLJINFFAF48CA
板橋區,房地(土地+建物),新北市板橋區文化路一段361~390號,2.77,住,,,1071101,土地1建物1車位0,十九層,四十三層,套房(1房1廳1衛),住家用,見其他登記事項,0990715,54.15,0,1,1,有,有,10600000,195753,,0.0,0,含增建或未登記建物。;,RPUNMLQLJINFFAF48CA
土城區,房地(土地+建物),新北市土城區裕生路21巷1弄1~30號,29.18,住,,,1071027,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690724,83.0,2,1,1,有,無,9000000,108434,,0.0,0,含增建或未登記建物。;,RPQPMLNLJINFFAF97CA
板橋區,房地(土地+建物),新北市板橋區館前東路156巷1~30號,93.0,住,,,1071024,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0620529,185.52,5,4,3,有,無,36800000,198361,,0.0,0,含增建或未登記建物。;,RPTPMLNLJINFFAF28CA
土城區,房地(土地+建物),新北市土城區學府路一段121~150號,6.04,住,,,1071016,土地1建物1車位0,十一層,十八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840524,32.53,1,0,1,有,有,4100000,126038,,0.0,0,,RPQNMLTLJINFFAF38CA
板橋區,房地(土地+建物),新北市板橋區文化路二段125巷1~30號,26.0,住,,,1070926,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,73.18,2,2,1,有,無,8800000,120251,,0.0,0,,RPWQMLTLJINFFAF66CA
板橋區,房地(土地+建物),新北市板橋區光華街13巷1~30號,19.69,住,,,1071108,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680309,65.05,4,2,3,有,無,8000000,122982,,0.0,0,,RPPNMLKMJINFFAF47CA
板橋區,房地(土地+建物),新北市板橋區裕民街133巷1~30號,16.3,住,,,1071031,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,72.71000000000001,2,2,1,有,無,7880000,108376,,0.0,0,,RPRSMLKMJINFFAF18CA
板橋區,房地(土地+建物)+車位,新北市板橋區宏國路31~60號,12.05,住,,,1071028,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070313,114.41,3,1,1,有,有,17700000,170822,升降機械,20.16,1600000,本案工程加減款等合計減款新台幣70萬元整,RPOOMLQJKINFFAF87CA
新莊區,房地(土地+建物)+車位,新北市新莊區昌隆街61~90號,16.49,其他,,,1071014,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910819,181.48,3,2,2,有,有,18600000,102491,坡道平面,38.54,0,含增建或未登記建物。;,RPUNMLMLJINFFBF18CA
新莊區,房地(土地+建物),新北市新莊區天祥街1巷1~30號,26.76,住,,,1071027,土地1建物1車位0,陽台，三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681017,86.84,3,2,1,有,無,6400000,73699,,0.0,0,含增建或未登記建物。;,RPQOMLMLJINFFBF87CA
